Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Thomas Bezucha,1964,American,"Screenwriter, director",G,M,AD,Thomas Bezucha
 Stephen Bicknell,1957-2007,English,Organ builder,G,M,AD,Stephen Bicknell
 Thom Bierdz,1962,American,Actor,G,M,AD,Thom Bierdz
 Christopher Biggins,1948,English,Television and pantomime actor,G,M,AD,Christopher Biggins
 Tobias Billstrom,1973,Swedish,Politician,B,M,AD,Tobias Billström
 Mark Bingham,1970-2001,American,"Entrepreneur, victim of 11 September 2001 attacks",G,M,AD,Mark Bingham
 Alfred Biolek,1934,German,"Actor, producer",G,M,AD,Alfred Biolek
 Elizabeth Birch,1956,American,"LGBT rights activist, attorney",L,F,AD,Elizabeth Birch
 Joan E Biren,1944,American,"Photographer, documentarian",L,F,AD,Joan E. Biren
 Jon a Birgisson,1975,Icelandic,Rock musician (Sigur Rós),G,M,AD,Jón Þór Birgisson
 Chester Biscardi,1948,American,"Contemporary classical composer, academic",G,M,AD,Chester Biscardi
 Elizabeth Bishop,1911-1979,American,"Writer, poet",L,F,AD,Elizabeth Bishop
 Heather Bishop,1949,Canadian,Children's music performer-composer,L,F,AD,Heather Bishop
 Michael Bishop,1942,English,Business executive,G,M,AD,Michael Bishop
 Jackie Biskupski,1966,American,Politician,L,F,AD,Jackie Biskupski
 Bill Bissett,1939,Canadian,Poet,G,M,AD,Bill Bissett
 Dustin Lance Black,1974,American,Screenwriter,G,M,AD,Dustin Lance Black
 Victor Blackwell,1981,American,Journalist,G,M,AD,Victor Blackwell
 Raymond Blain,1951-1992,Canadian,Politician,G,M,AD,Raymond Blain
 Marie Claire Blais,1939,Canadian,"Author, playwright",L,F,AD,Marie-Claire Blais
 Doug Blasdell,1963-2007,American,"Personal trainer, reality show star",G,M,AD,Doug Blasdell
 Ross Bleckner,1949,American,Artist,G,M,AD,Ross Bleckner
 Sebastian Bleisch,1957,German,"Writer, porn director",G,M,AD,Sebastian Bleisch
 Larry Bliss,1946,American,Politician,G,M,AD,Larry Bliss
 Marc Blitzstein,1905-1964,American,20th century classical composer,G,M,AD,Marc Blitzstein
 Anthony Blond,1928-2008,English,"Publisher, author",G,M,AD,Anthony Blond
 Allan Bloom,1930-1992,American,Philosopher,G,M,AD,Allan Bloom
 Amy Bloom,1953,American,Writer,L,F,AD,Amy Bloom
 Lionel Blue,1930,English,"First openly gay rabbi in the UK, broadcaster",G,M,AD,Lionel Blue
 Anthony Blunt,1907-1983,English,"Art historian, spy",G,M,AD,Anthony Blunt
 Konrad Boehmer,1941-2014,Dutch,Contemporary classical composer,G,M,AD,Konrad Boehmer
 Dirk Bogarde,1921-1999,English,Actor,G,M,AD,Dirk Bogarde
 Alexandru Bogdan Pite �yti,1870-1922,Romanian,"Symbolist poet, essayist, and art and literary critic",G,M,AD,Alexandru Bogdan-Piteşti
 David Bohnett,1956,American,Entrepreneur,G,M,AD,David Bohnett
 Andre Boisclair,1966,Canadian,Politician,G,M,AD,André Boisclair
 Brian Boitano,1963,American,Figure skater,G,M,AD,Brian Boitano
 Nicholas Boles,1965,English,Politician,G,M,AD,Nicholas Boles
 Ray Boltz,1953,American,Singer-songwriter,G,M,AD,Ray Boltz
 Matt Bomer,1977,American,Actor,G,M,AD,Matt Bomer
 Cris Bonacci,1966,Australian,"Rock musician, producer",L,F,AD,Cris Bonacci
 Klaus Bondam,1963,Danish,"Actor, politician",G,M,AD,Klaus Bondam
 Rosa Bonheur,1822-1899,French,"Painter, sculptor",L,F,AD,Rosa Bonheur
 William Bonin,1947-1996,American,Serial killer,G,M,AD,William Bonin
 Abel Bonnard,1883-1968,French,Writer,G,M,AD,Abel Bonnard
 Gillian Bonner,1966,American,Model,B,F,AD,Gillian Bonner
 Mel Boozer,1946-1987,American,LGBT-rights activist,G,M,AD,Mel Boozer
 Jobriath Boone,1946-1983,American,"Musician, Actor",G,M,AD,Jobriath Boone
 Lizzie Borden,1958,American,Filmmaker,B,F,AD,Lizzie Borden
 Walter Borden,1942,Canadian,"Actor, playwright",G,M,AD,Walter Borden
 Barrie Jean Borich,�,American,Writer,L,F,AD,Barrie Jean Borich
 Trevor Boris,1978,Canadian,Comedian,G,M,AD,Trevor Boris
 David Borrow,1962,English,Politician,G,M,AD,David Borrow
 Francisco Bosch,1982,Spanish,"Actor, dancer",G,M,AD,Francisco Bosch
 Joshua Boschee,�,American,Politician,G,M,AD,Joshua Boschee
 John Boswell,1947-1994,American,Historian,G,M,AD,John Boswell
 Roddy Bottum,1963,American,"Rock musician (Imperial Teen, Faith No More)",G,M,AD,Roddy Bottum
 Charles Karel Bouley,1962,American,"Radio personality, writer",G,M,AD,Charles Karel Bouley
 Nina Bouraoui,1967,French,Author,L,F,AD,Nina Bouraoui
 Matthew Bourne,1960,English,Choreographer,G,M,AD,Matthew Bourne
 Adam Bouska,1983,American,Photographer,G,M,AD,Adam Bouska
 Jeff Bowen,1971,American,Actor,G,M,AD,Jeff Bowen
 Leigh Bowery,1961-1994,Australian,Performance artist,B,F,AD,Leigh Bowery
 Angie Bowie,1950,American,Model,B,F,AD,Angie Bowie
 David Bowie,1947-2016,British,Musician,B,M,AD,David Bowie
 Jane Bowles,1917-1973,American,Writer,B,F,AD,Jane Bowles
 Paul Bowles,1910-1999,American,"Classical composer, author",B,M,AD,Paul Bowles
 Karin Boye,1900-1941,Swedish,Writer,L,F,AD,Karin Boye
 Keith Boykin,1965,American,"Author, broadcaster, political advisor",G,M,AD,Keith Boykin
 Daniel Boys,1979,British,Actor,G,M,AD,Daniel Boys
 Edwin Emmanuel Bradford,1860-1944,English,Uranian poet,G,M,AD,Edwin Emmanuel Bradford
 Ben Bradshaw,1960,English,Politician,G,M,AD,Ben Bradshaw
 Stephen Brady,1959,Australian,Official Secretary to the Governor-General of Australia,G,M,AD,Stephen Brady
 Howard Bragman,1956,American,Writer,G,M,AD,Howard Bragman
 Christopher Bram,1952,American,Writer,G,M,AD,Christopher Bram
 Wilfrid Brambell,1912-1985,Irish,Actor,G,M,AD,Wilfrid Brambell
 Adolf Brand,1874-1945,German,"Writer, LGBT rights activist",B,M,AD,Adolf Brand
 Dionne Brand,1953,Canadian,Writer,L,F,AD,Dionne Brand
 Marlon Brando,1924-2004,American,Actor,B,M,AD,Marlon Brando
 Johnny Brandon,1925,English,Singer,G,M,AD,Johnny Brandon
 Marcus Brandon,1975,American,Politician,G,M,AD,Marcus Brandon
 Jay Brannan,1982,American,"Actor, musician",G,M,AD,Jay Brannan
 Ben Brantley,1954,American,Theatre critic,G,M,AD,Ben Brantley
 Alan Bray,1948-2001,American,"Historian, LGBT rights activist",G,M,AD,Alan Bray
 Bunny Breckinridge,1903-1996,American,Actor,G,M,AD,Bunny Breckinridge
 Allison Brewer,1954,Canadian,Politician,L,F,AD,Allison Brewer
 Linda Bresonik,1983,German,Footballer,B,F,AD,Linda Bresonik
 Jean Claude Brialy,1933-2007,French,Actor,G,M,AD,Jean-Claude Brialy
 Aaron Bridgers,1918-2003,American,Musician,G,M,AD,Aaron Bridgers
 Alicia Bridges,1953,American,Pop musician,L,F,AD,Alicia Bridges
 James Bridges,1936-1993,American,"Screenwriter, director",G,M,AD,James Bridges
 Susie Bright,1958,American,"Writer, broadcaster",B,F,AD,Susie Bright
 Mark Brindal,1948,Australian,Politician,G,M,AD,Mark Brindal
 Dave Brindle,�,Canadian,Journalist,G,M,AD,Dave Brindle
 Jos Brink,1942-2007,Dutch,"Actor, musician",G,M,AD,Jos Brink
 Josefin Brink,1969,Swedish,Politician,L,F,AD,Josefin Brink
 Joanna Briscoe,1963,English,Author,L,F,AD,Joanna Briscoe
 Scott Brison,1967,Canadian,Member of Parliament,G,M,AD,Scott Brison
 Patrick Bristow,1962,American,"Actor, comedian",G,M,AD,Patrick Bristow
 Benjamin Britten,1913-1976,English,20th century classical composer and conductor,G,M,AD,Benjamin Britten
 David Brock,1962,American,Writer,G,M,AD,David Brock
 Lino Brocka,1939-1991,Filipino,Filmmaker,G,M,AD,Lino Brocka
 Belle Brockhoff,1993,Australian,Snowboarder,L,F,AD,Belle Brockhoff
 Lois Bromfield,�,Canadian,"Comedian, screenwriter",L,F,AD,Lois Bromfield
 David Bromstad,1973,American,Television personality,G,M,AD,David Bromstad
 Harry Bronson,1959,American,"Politician, attorney",G,M,AD,Harry Bronson
 Ashlynn Brooke,1985,American,Porn star,B,F,AD,Ashlynn Brooke
 Rupert Brooke,1887-1915,English,Poet,B,M,AD,Rupert Brooke
 Katherine Brooks,1976,American,Movie director,L,F,AD,Katherine Brooks
 Louise Brooks,1906-1985,American,Actor,B,F,AD,Louise Brooks
 Romaine Brooks,1874-1970,American,Painter,B,M,AD,Romaine Brooks
 Brigid Brophy,1929-1995,English,Writer,B,F,AD,Brigid Brophy
 Nicole Brossard,1943,Canadian,Writer,L,F,AD,Nicole Brossard
 Trev Broudy,1968,American,"Actor, model",G,M,AD,Trev Broudy
 Bob Brown,1944,Australian,"Senator, first openly gay member of the Australian Parliament",G,M,AD,Bob Brown
 Derren Brown,1971,English,Psychological illusionist/mentalist,G,M,AD,Derren Brown
 Erin Brown,1979,English,"Actor, model, filmmaker",B,F,AD,Erin Brown
 Kate Brown,1960,American,Politician,B,F,AD,Kate Brown
 Margaret Wise Brown,1910-1952,American,Writer,B,F,AD,Margaret Wise Brown
 Michael Brown,1951,English,"Journalist, politician",G,M,AD,Michael Brown
 Neil Brown,1940,Australian,Politician,G,M,AD,Neil Brown
 Nick Brown,1950,English,Politician,G,M,AD,Nick Brown
 Rebecca Brown,�,American,Writer,L,F,AD,Rebecca Brown
 Rita Mae Brown,1944,American,"Author, activist",L,F,AD,Rita Mae Brown
 Tim Brown,1962,American,Politician,G,M,AD,Tim Brown
 Coral Browne,1913-1991,Australian,Actor,B,F,AD,Coral Browne
 John Browne,1948,English,"Oil executive, member of the House of Lords",G,M,AD,John Browne
 Oscar Browning,1837-1923,English,"Writer, historian",G,M,AD,Oscar Browning
 Carrie Brownstein,1974,American,Rock musician (Sleater-Kinney),B,F,AD,Carrie Brownstein
 Tammy Bruce,1962,American,Author,L,F,AD,Tammy Bruce
 David Brudnoy,1940-2004,American,Talk radio host,G,M,AD,David Brudnoy
 Til Brugman,1888-1958,Dutch,"Poet, linguist",G,M,AD,Til Brugman
 Erik Bruhn,1928-1986,Danish,Dancer,G,M,AD,Erik Bruhn
 Tyler Bra,1968,Canadian,Journalist,G,M,AD,Tyler Brûlé
 Frank Bruni,1964,American,Journalist,G,M,AD,Frank Bruni
 Gioia Bruno,1963,American,Pop musician,B,M,AD,Gioia Bruno
 Manfred Bruns,1934,German,LGBT rights activist,B,M,AD,Manfred Bruns
 Chris Bryant,1962,English,Politician,G,M,AD,Chris Bryant
 Bryher,1894-1983,English,Writer,L,F,AD,Bryher
 Kathleen Bryson,1968,American,"Writer, filmmaker",B,F,AD,Kathleen Bryson
 Norman Buckley,1955,American,Television director,G,M,AD,Norman Buckley
 Raymond Buckley,1959,American,Politician,G,M,AD,Raymond Buckley
 Anastasia Bucsis,1989,Canadian,Speed skater,L,F,AD,Anastasia Bucsis
 Ryan Buell,1982,American,"Paranormal investigator, television personality",B,M,AD,Ryan Buell
 Florin Buhuceanu,1971,Romanian,LGBT rights activist,G,M,AD,Florin Buhuceanu
 Ferdinand I of Bulgaria,1861-1948,Bulgarian,Tsar,B,M,AD,Ferdinand I of Bulgaria
 Jim J Bullock,1955,American,Actor,G,M,AD,Jim J. Bullock
 Lady Bunny,1962,American,"Drag performer, DJ, promoter",G,M,AD,Lady Bunny
 Julie Burchill,1959,English,Writer,B,F,AD,Julie Burchill
 Ross Burden,1968-2014,New Zealand,Celebrity chef,G,M,AD,Ross Burden
 Guy Burgess,1911-1963,English,Spy,G,M,AD,Guy Burgess
 Jim Burgess,1953-1993,American,Record producer,G,M,AD,Jim Burgess
 Tituss Burgess,1979,American,"Actor, singer",G,M,AD,Tituss Burgess
 Brendan Burke,1988-2010,Canadian,Ice hockey player,G,M,AD,Brendan Burke
 Glenn Burke,1952-1995,American,Baseball player,G,M,AD,Glenn Burke
 Ronnie Burkett,1957,Canadian,Puppeteer,G,M,AD,Ronnie Burkett
 Kris Burley,1974,Canadian,Gymnast,G,M,AD,Kris Burley
 Joel Burns,1969,American,Politician,G,M,AD,Joel Burns
 Chandler Burr,1963,American,Author,G,M,AD,Chandler Burr
 Raymond Burr,1917-1993,Canadian,Actor,B,M,AD,Raymond Burr
 Anne Burrell,1969,American,"TV personality, chef",L,F,AD,Anne Burrell
 Augusten Burroughs,1965,American,Writer,G,M,AD,Augusten Burroughs
 William S Burroughs,1914-1997,American,Writer,G,M,AD,William S. Burroughs
 Saffron Burrows,1973,English American,Actor,B,F,AD,Saffron Burrows
 Paul Burston,1965,English,"Journalist, author",G,M,AD,Paul Burston
 Gary Burton,1943,American,Jazz musician,G,M,AD,Gary Burton
 Charles Busch,1954,American,"Playwright, actor",G,M,AD,Charles Busch
 Wolfgang Busch,1955,American,Filmmaker,G,M,AD,Wolfgang Busch
 Rachel Kramer Bussel,1976,American,"Author, columnist",L,F,AD,Rachel Kramer Bussel
 Ivan Bussens,1960-2007,English,Sportsman,G,M,AD,Ivan Bussens
 Sylvano Bussotti,1931,Italian,Contemporary classical composer,G,M,AD,Sylvano Bussotti
 Dorothy Bussy,1865-1960,English,Writer,B,F,AD,Dorothy Bussy
 Dan Butler,1954,American,Actor,G,M,AD,Dan Butler
 Judith Butler,1956,American,Philosopher,L,F,AD,Judith Butler
 Samuel Butler,1835-1902,English,Author,G,M,AD,Samuel Butler
 Jeffrey Buttle,1982,Canadian,Figure skater,G,M,AD,Jeffrey Buttle
 Beth Bye,�,American,Politician,L,F,AD,Beth Bye
 Latasha Byears,1973,American,Basketball player,L,F,AD,Latasha Byears
 Spring Byington,1886-1971,American,Actor,B,F,AD,Spring Byington
 Lord Byron,1788-1824,Scottish/English,Poet,B,M,AD,Lord Byron
 Christopher Cabaldon,1965,American,Politician,G,M,AD,Christopher Cabaldon
 Jean Daniel Cadinot,1944,French,Pornographic movie director,G,M,AD,Jean-Daniel Cadinot
 Paul Cadmus,1904-1999,American,Artist,G,M,AD,Paul Cadmus
 John Cage,1912-1992,American,20th century classical composer,G,M,AD,John Cage
 Caitlin Cahow,1985,American,Ice hockey player,L,F,AD,Caitlin Cahow
 Claude Cahun,1894-1954,French,"Photographer, writer",G,M,AD,Claude Cahun
 J P Calderon,1975,American,"Volleyball player, TV personality",G,M,AD,J. P. Calderon
 Caligula,Dec-41,Roman,Emperor,B,M,AD,Caligula
 Anthony Callea,1982,Australian,Pop musician,G,M,AD,Anthony Callea
 Michael Callen,1955-1993,American,AIDS activist,G,M,AD,Michael Callen
 Simon Callow,1949,English,Actor,G,M,AD,Simon Callow
 Jean Jacques Regis de Cambaceres,1753-1824,French,Lawyer,G,M,AD,Jean Jacques Régis de Cambacérès
 Anne Cameron,1938,Canadian,"Novelist, poet",L,F,AD,Anne Cameron
 Edwin Cameron,1953,South African,Judge,G,M,AD,Edwin Cameron
 Rhona Cameron,1965,Scottish,Comedian,L,F,AD,Rhona Cameron
 Margarethe Cammermeyer,1942,American,"LGBT rights activist, soldier",L,F,AD,Margarethe Cammermeyer
 Colin Campbell,1942-2001,Canadian,Video artist,G,M,AD,Colin Campbell
 Dani Campbell,1982,American,runner up on reality TV show A Shot at Love with Tila Tequila,L,F,AD,Dani Campbell
 Tim Campbell,1975,Australian,Actor,G,M,AD,Tim Campbell
 David Campos,1970,Guatemalan-American,Politician,G,M,AD,David Campos
 Justin R Cannon,1984,American,"Founder of TruthSetsFree.net, an affirming outreach ministry to gay and lesbian Christians",G,M,AD,Justin R. Cannon
 Mario Cantone,1959,American,"Comedian, actor",G,M,AD,Mario Cantone
 Daniele Capezzone,1972,Italian,Politician,B,F,AD,Daniele Capezzone
 Truman Capote,1924-1984,American,"Author, playwright",G,M,AD,Truman Capote
 James Cappleman,1952,American,Politician,G,M,AD,James Cappleman
 Scott Capurro,1962,American,Comedian,G,M,AD,Scott Capurro
 Gia Carangi,1960-1986,American,Model,B,F,AD,Gia Carangi
 Andreas Carlgren,1958,Swedish,Politician,G,M,AD,Andreas Carlgren
 Brandi Carlile,1981,American,Rock musician,L,F,AD,Brandi Carlile
 Benedetta Carlini,1591-1661,Italian,"Nun, mystic",L,F,AD,Benedetta Carlini
 Vanessa Carlton,1980,American,"Singer, songwriter",B,F,AD,Vanessa Carlton
 Liz Carmouche,1984,American,Mixed martial arts fighter,L,F,AD,Liz Carmouche
 Marcel Carne,1906-1996,French,Filmmaker,G,M,AD,Marcel Carné
 Rachel Carns,1969,American,"Musician, artist, performer",L,F,AD,Rachel Carns
 Ana Carolina,1974,Brazilian,Musician,B,F,AD,Ana Carolina
 Cameron Carpenter,1981,American,Organist,G,M,AD,Cameron Carpenter
 Edward Carpenter,1844-1929,English,"Writer, LGB rights theoretician and activist",G,M,AD,Edward Carpenter
 Tim Carpenter,1960,American,Politician,G,M,AD,Tim Carpenter
 Kelli Carpenter O' Donnell,1967,American,"Business executive, life-partner of entertainer Rosie O'Donnell",L,F,AD,Kelli Carpenter O'Donnell
 Alan Carr,1976,English,Comedian,G,M,AD,Alan Carr
 Dora Carrington,1893-1932,English,Artist,B,F,AD,Dora Carrington
 Jim Carroll,1949-2009,American,"Poet, writer, rock musician",B,M,AD,Jim Carroll
 Chris Carter,1952,New Zealand,Politician,G,M,AD,Chris Carter
 Lily Carter,1990,American,Porn star,B,F,AD,Lily Carter
 Logan Carter,1954-1997,American,"Actor, female impersonator",G,M,AD,Logan Carter
 Ted Casablanca,1960,American,Journalist,G,M,AD,Ted Casablanca
 Giacomo Casanova,1725-1798,Venetian,"Traveller, writer",B,M,AD,Giacomo Casanova
 Warren Casey,1935,American,Composer and lyricist,G,M,AD,Warren Casey
 Michael Cashman,1950,English,"Actor, politician",G,M,AD,Michael Cashman
 Neal Cassady,1926,American,Major figure of Beat Generation,B,M,AD,Neal Cassady
 Maggie Cassella,�,American,Comedian,L,F,AD,Maggie Cassella
 Jack Cassidy,1927-1976,American,Actor,B,M,AD,Jack Cassidy
 Kelly Cassidy,�,American,Politician,L,F,AD,Kelly Cassidy
 P J Castellaneta,1960,American,"Film director, screenwriter",G,M,AD,P. J. Castellaneta
 Sebastian Castro,1989,American,"Actor, singer",G,M,AD,Sebastian Castro
 Clint Catalyst,1971,American,"Writer, performer",G,M,AD,Clint Catalyst
 David Catania,1968,American,Politician,G,M,AD,David Catania
 Willa Cather,1873-1947,American,Writer,L,F,AD,Willa Cather
 Constantine P Cavafy,1863-1933,Greek,Poet,B,M,AD,Constantine P. Cavafy
 Megan Cavanagh,1960,American,Actor,L,F,AD,Megan Cavanagh
 Cazuza,1958-1990,Brazilian,Singer,G,M,AD,Cazuza
 Cazwell,1978,American,Rapper,G,M,AD,Cazwell
 Petru Cercel,1556-1590,Romanian,Ruler of Wallachia,G,M,AD,Petru Cercel
 Luis Cernuda,1902-1963,Spanish,Poet,G,M,AD,Luis Cernuda
 Ilene Chaiken,�,American,Writer and television producer,L,F,AD,Ilene Chaiken
 John Challis,1928,Australian,LGBT rights activist,G,M,AD,John Challis
 Joan Chalmers,1928,Canadian,Philanthropist,G,M,AD,Joan Chalmers
 Richard Chamberlain,1934,American,Actor,G,M,AD,Richard Chamberlain
 Kevin Chamberlin,1963,American,Actor,G,M,AD,Kevin Chamberlin
 Sam Champion,1961,American,TV weather presenter,G,M,AD,Sam Champion
 Graham Chapman,1941-1989,English,Comedian (Monty Python),G,M,AD,Graham Chapman
 Spencer Chandra Herbert,1981,Canadian,Politician,G,M,AD,Spencer Chandra Herbert
 Otis Charles,1926,American,Episcopal bishop,G,M,AD,Otis Charles
 Ian Charleson,1949-1990,Scottish,Actor,G,M,AD,Ian Charleson
 Bruce Chatwin,1940-1989,English,"Novelist, travel writer",B,M,AD,Bruce Chatwin
 Charles Chauvel,1969,New Zealand,Politician,G,M,AD,Charles Chauvel
 Christian Chavez,1983,Mexican,"Latin pop musician, actor",G,M,AD,Christian Chávez
 Alexander Chee,1957,American,Writer,G,M,AD,Alexander Chee
 John Cheever,1912-1982,American,Writer,B,M,AD,John Cheever
 Chenette Justin,1991,American,Politician,G,M,AD,"Chenette, JustinJustin Chenette"
 Mary Cheney,1969,American,Daughter of U.S. Vice President Dick Cheney,L,F,AD,Mary Cheney
 Patrice Chereau,1944-2013,French,"Actor, director",G,M,AD,Patrice Chéreau
 Marc Cherry,1962,American,"TV writer, producer",G,M,AD,Marc Cherry
 Neneh Cherry,1964,Swedish,Pop musician,B,F,AD,Neneh Cherry
 Alfred Chester,1928-1971,American,Writer,G,M,AD,Alfred Chester
 Craig Chester,1965,American,"Actor, screenwriter",G,M,AD,Craig Chester
 Leslie Cheung,1956-2003,Hong Kong,"Actor, pop musician",B,F,AD,Leslie Cheung
 Ken Cheuvront,1961,American,Politician,G,M,AD,Ken Cheuvront
 Paddy Chew,1960-1999,Singaporean,First Singaporean AIDS victim to come out to the general public,G,M,AD,Paddy Chew
 Georgy Chicherin,1872-1936,Russian,Politician,G,M,AD,Georgy Chicherin
 Staceyann Chin,1972,Jamaican,Poet,G,M,AD,Staceyann Chin
 Margaret Cho,1968,American,Comedian,B,F,AD,Margaret Cho
 Dan Choi,1981,American,"LGBT activist, former military officer",G,M,AD,Dan Choi
 Lisa Cholodenko,1964,American,Film director and screenwriter,L,F,AD,Lisa Cholodenko
 Zero Chou,1969,Taiwanese,Film director,G,M,AD,Zero Chou
 Ken Choy,�,American,"Writer, performance artist",G,M,AD,Ken Choy
 Wayson Choy,1939,Canadian,Writer,G,M,AD,Wayson Choy
 Meg Christian,1946,American,Musician,L,F,AD,Meg Christian
 Jennifer Chrisler,�,American,Gay rights activist,L,F,AD,Jennifer Chrisler
 Nathan Christoffersen,1977-2005,American,"LGBT rights activist, journalist",G,M,AD,Nathan Christoffersen
 Terry Christopher,�,American,Singer/songwriter,G,M,AD,Terry Christopher
 Peter Christopherson,1955-2010,English,Rock and experimental musician,G,M,AD,Peter Christopherson
 Chrystos,1946,American,Poet,G,M,AD,Chrystos
 Ralph Chubb,1892-1960,English,Writer,G,M,AD,Ralph Chubb
 Annabelle Chvostek,1973,Canadian,Singer/songwriter,L,F,AD,Annabelle Chvostek
 David Cicilline,1961,American,"Politician, first openly gay mayor of an American state capital",G,M,AD,David Cicilline
 Adriano Cintra,1972,Brazilian,Musician,G,M,AD,Adriano Cintra
 Helene Cixous,1937,French,"Writer, philosopher",B,F,AD,Hélène Cixous
 James Clark,1963,English,Diplomat,G,M,AD,James Clark
 Karen Clark,1945,American,Politician,L,F,AD,Karen Clark
 Michael Clark,1962,British,"Dancer, choreographer",G,M,AD,Michael Clark
 Cam Clarke,1957,American,Voice actor,G,M,AD,Cam Clarke
 Cheryl Clarke,1947,American,Writer,G,M,AD,Cheryl Clarke
 Michele Clarke,1961,Trinidadian,"Writer, filmmaker",L,F,AD,Michele Clarke
 Julian Clary,1959,English,Comedian,G,M,AD,Julian Clary
 Kevin Clash,1960,American,Puppeteer,G,M,AD,Kevin Clash
 Beth Clayton,�,American,Opera singer,L,F,AD,Beth Clayton
 Charles Clegg,1916-1979,American,"Author, photographer, railroad historian",G,M,AD,Charles Clegg
 Douglas Clegg,1958,American,Author,G,M,AD,Douglas Clegg
