"Name","Lifetime","Nationality","Notable.as","Orientation","Sex","Era","Name.old","Partners","Link"
" Attling Efva","1952","Swedish","Jewelry designer","L","F","AD","Attling, EfvaEfva Attling","Niklas StrˆmstedtEva Dahlgren","https://en.wikipedia.org/wiki/Efva_Attling"
" Atwater Rhodes Amelia","1984","American","Writer","L","F","AD","Atwater-Rhodes, AmeliaAmelia Atwater-Rhodes","0","0"
" Au Alex","1952","Singaporean","LGBT rights activist, writer","G","M","AD","Au, AlexAlex Au","0","https://en.wikipedia.org/wiki/Alex_Au"
" Aucoin Kevyn","1962-2002","American","Make-up artist","G","M","AD","Aucoin, KevynKevyn Aucoin","Jeremy Antunes (1999-2002)","https://en.wikipedia.org/wiki/Kevyn_Aucoin"
" Auden W H","1907-1973","British","Poet","G","M","AD","Auden, W. H.W. H. Auden","Erika Mann (unconsummated marriage, 1935, to provide her with a British passport)","https://en.wikipedia.org/wiki/W_H_Auden"
" August John","1970","American","Screenwriter","G","M","AD","August, JohnJohn August","Michael August (m.†2008)","https://en.wikipedia.org/wiki/John_August"
" Augustus Seimone","1984","American","Basketball player","L","F","AD","Augustus, SeimoneSeimone Augustus","0","https://en.wikipedia.org/wiki/Seimone_Augustus"
" Ausiello Michael","1972","American","Television journalist","G","M","AD","Ausiello, MichaelMichael Ausiello","Kit Cowan (????ñ2015; his death)","https://en.wikipedia.org/wiki/Michael_Ausiello"
" Avedisian Edward","1936-2007","American","Painter","G","M","AD","Avedisian, EdwardEdward Avedisian","0","https://en.wikipedia.org/wiki/Edward_Avedisian"
" Aviance Kevin","1968","American","Entertainer","G","M","AD","Aviance, KevinKevin Aviance","0","https://en.wikipedia.org/wiki/Kevin_Aviance"
" Axgil Axel and Eigil","1915-2011","Danish","First gay couple in the world joined in a civil union","G","M","AD","Axgil, Axel and EigilAxel and Eigil Axgil","0","0"
" Ayres Tony","1961","Australian","Film director, screenwriter","G","M","AD","Ayres, TonyTony Ayres","0","https://en.wikipedia.org/wiki/Tony_Ayres"
" Azar Assi","1979","Israel","Television personality","G","M","AD","Azar, AssiAssi Azar","0","https://en.wikipedia.org/wiki/Assi_Azar"
" Azis","1978","Romani-Bulgarian","Chalga singer","G","M","AD","Azis","0","https://en.wikipedia.org/wiki/Azis"
" Lisa B","†","Canadian","Poet","B","F","AD","Lisa B","0","https://en.wikipedia.org/wiki/Lisa_B"
" Jamie Babbit","1970","American","Film and television director","L","F","AD","Jamie Babbit","Karey Dornetto (m.†2014)","https://en.wikipedia.org/wiki/Jamie_Babbit"
" Paul Babeu","1969","American","Politician","G","M","AD","Paul Babeu","0","https://en.wikipedia.org/wiki/Paul_Babeu"
" Babur","1483-1530","Indian/Mughal","Emperor and founder of the Mughal Empire in the Indian subcontinent","B","M","AD","Babur","11 wives
Aisha Sultan BegumZainab Sultan BegumMasuma Sultan BegumMaham Begum
Gulrukh Begum
Dildar Agha BegumMubaraka Yusufzai
Saliha Sultan Begum
Hajjah Gulnar Aghacha
Nazgul Aghacha
Bega Begum","https://en.wikipedia.org/wiki/Babur"
" Babydaddy","1976","American","Rock musician","G","M","AD","Babydaddy","0","https://en.wikipedia.org/wiki/Babydaddy"
" Peter Bacanovic","1962","American","Stockbroker, defendant in ImClone trial","G","M","AD","Peter Bacanovic","0","https://en.wikipedia.org/wiki/Peter_Bacanovic"
" Don Bachardy","1934","American","Artist","G","M","AD","Don Bachardy","0","https://en.wikipedia.org/wiki/Don_Bachardy"
