Name,Lifetime,Nationality,Notable.as,Orientation,Sex,Era,Name.old,Partners,Link
 Peter Bacanovic,1962,American,"Stockbroker, defendant in ImClone trial",G,M,AD,Peter Bacanovic,NA,https://en.wikipedia.org/wiki/Peter_Bacanovic
 Don Bachardy,1934,American,Artist,G,M,AD,Don Bachardy,NA,https://en.wikipedia.org/wiki/Don_Bachardy
 Ruth Badger,1978,British,"Reality show contestant, television presenter, business consultant",L,F,AD,Ruth Badger,NA,https://en.wikipedia.org/wiki/Ruth_Badger
 Joan Baez,1941,American,Folk musician,B,F,AD,Joan Baez,NA,https://en.wikipedia.org/wiki/Joan_Baez
 Bai Ling,1966,American,Actress,B,F,AD,Bai Ling,NA,https://en.wikipedia.org/wiki/Bai_Ling
 Paul Bailey,1937,British,Writer,G,M,AD,Paul Bailey,NA,https://en.wikipedia.org/wiki/Paul_Bailey
 Sheryl Bailey,1966,American,Jazz musician,L,F,AD,Sheryl Bailey,NA,https://en.wikipedia.org/wiki/Sheryl_Bailey
 Simon Bailey,1955-1995,British,Anglican priest,G,M,AD,Simon Bailey,NA,https://en.wikipedia.org/wiki/Simon_Bailey
 Jon Robin Baitz,1961,American,"Playwright, television producer",G,M,AD,Jon Robin Baitz,NA,https://en.wikipedia.org/wiki/Jon_Robin_Baitz
 Jack Baker,1942,American,"Attorney, LGBT rights activist",G,M,AD,Jack Baker,NA,https://en.wikipedia.org/wiki/Jack_Baker
 James Robert Baker,1946-1997,American,Author,G,M,AD,James Robert Baker,NA,https://en.wikipedia.org/wiki/James_Robert_Baker
 Josephine Baker,1906-1975,American,Entertainer,B,F,AD,Josephine Baker,NA,https://en.wikipedia.org/wiki/Josephine_Baker
 John Roman Baker,1944,British,Playwright,G,M,AD,John Roman Baker,NA,https://en.wikipedia.org/wiki/John_Roman_Baker
 Marina Baker,1967,British,"Writer, politician",B,F,AD,Marina Baker,NA,https://en.wikipedia.org/wiki/Marina_Baker
 John Balance,1962-2004,British,Rock and experimental musician,G,M,AD,John Balance,NA,https://en.wikipedia.org/wiki/John_Balance
 Kuwasi Balagoon,1946-1986,American,"Black Panther, writer",B,M,AD,Kuwasi Balagoon,NA,https://en.wikipedia.org/wiki/Kuwasi_Balagoon
 Clare Balding,1971,British,BBC sports journalist,L,F,AD,Clare Balding,NA,https://en.wikipedia.org/wiki/Clare_Balding
 Long John Baldry,1941-2005,British,Blues-rock musician,G,M,AD,Long John Baldry,NA,https://en.wikipedia.org/wiki/Long_John_Baldry
 Ireland Baldwin,1995,American,Model,B,F,AD,Ireland Baldwin,NA,https://en.wikipedia.org/wiki/Ireland_Baldwin
 James Baldwin,1924-1987,American,Writer,G,M,AD,James Baldwin,NA,https://en.wikipedia.org/wiki/James_Baldwin
 Oliver Baldwin 2nd Earl of Bewdley,1899-1958,British,Politician,G,M,AD,"Oliver Baldwin, 2nd Earl Baldwin of Bewdley",NA,0
 Tammy Baldwin,1962,American,"Politician, first openly gay U.S. Senator in history.",L,F,AD,Tammy Baldwin,NA,https://en.wikipedia.org/wiki/Tammy_Baldwin
